,time,avg_1,avg_3,avg_7
0,2019-12-01,-3.7342482108044424,,
1,2019-12-02,-4.091630007404588,,
2,2019-12-03,-4.227233106285774,,
3,2019-12-04,-4.428223455676876,-4.214435149930358,
4,2019-12-05,-4.448208692098928,-4.308980521892586,
5,2019-12-06,-4.2774500892720235,-4.303265547666601,
6,2019-12-07,-2.8281855718721802,-4.02841230097414,
7,2019-12-08,-3.3038275041049574,-3.7478781894892865,-4.040047064354432
8,2019-12-09,-3.0973029693212224,-3.081140056981643,-3.9360460048161796
9,2019-12-10,-3.451323118505112,-3.2506991515846364,-3.823564020674529
10,2019-12-11,-4.161820883520264,-3.4978322377345212,-3.7636157164297246
11,2019-12-12,-4.233766632039741,-3.9063591453518027,-3.7028299540678695
12,2019-12-13,-3.513397483502086,-4.049897572312263,-3.42143081343848
13,2019-12-14,-3.1884826765048317,-3.7001956366725657,-3.5234480014191147
14,2019-12-15,-4.539983072184795,-4.316295339024795,-3.9990497583555897
15,2019-12-16,-4.0279840008104735,-4.280983860401747,-4.13243825319161
16,2019-12-17,-4.250898320311868,-4.2818265961242545,-4.167340495513611
17,2019-12-18,-3.7129959563128967,-3.9681649662215603,-4.147708722663682
18,2019-12-19,-3.6331793959312684,-3.91936522532734,-4.0777757560944625
19,2019-12-20,-3.9746998313200286,-3.6909875394456644,-4.095057116940484
20,2019-12-21,-4.407888300336457,-3.997656542286245,-4.158195733496387
21,2019-12-22,-4.676635691384179,-4.436560537039244,-4.074008574603883
22,2019-12-23,-4.505853062286791,-4.489073025977661,-4.190707388549152
23,2019-12-24,-4.4849618332286045,-4.536088905035979,-4.228644519168836
24,2019-12-25,-4.435542763065906,-4.4213158268926165,-4.274171707130288
25,2019-12-26,-4.800175411368945,-4.57286528528369,-4.448021601224096
26,2019-12-27,-4.888815488578007,-4.628129702493989,-4.570956801363567
27,2019-12-28,-4.82863905173268,-4.826465804765669,-4.6470581714488945
28,2019-12-29,-5.115650443678521,-4.8730194321197775,-4.725576045763827
29,2019-12-30,-4.270399956663509,-4.774459209515872,-4.722651127318119
30,2019-12-31,-4.063594352254741,-4.699351271987443,-4.720291026037083
31,2020-01-01,-4.800225827391013,-4.5701933924171545,-4.750225790562868
32,2020-01-02,-4.655070148121203,-4.737201434744491,-4.757107187189176
33,2020-01-03,-3.4394112241530985,-4.759355506740657,-4.720713260358696
34,2020-01-04,-4.942552851355325,-4.442691128358113,-4.7156388851409385
35,2020-01-05,-5.0618354086878465,-4.649984744230185,-4.619104521072352
36,2020-01-06,-3.591059483887478,-5.033112755993965,-4.7086238857825355
37,2020-01-07,,-5.005983171652394,-4.845310535727121
38,2020-01-08,,-3.591059483887478,-4.733237157986966
39,2020-01-09,,,-4.648454853493924
40,2020-01-10,,,-5.033112755993965
41,2020-01-11,,,-5.005983171652394
42,2020-01-12,,,-3.591059483887478
43,2020-01-13,,,
44,2020-01-14,,,
45,2020-01-15,,,
46,2020-01-16,,,
47,2020-01-17,,,
48,2020-01-18,,,
49,2020-01-19,,,
50,2020-01-20,,,
51,2020-01-21,,,
52,2020-01-22,,,
53,2020-01-23,,,
54,2020-01-24,,,
55,2020-01-25,,,
56,2020-01-26,,,
57,2020-01-27,,,
58,2020-01-28,,,
59,2020-01-29,,,
60,2020-01-30,,,
61,2020-01-31,,,
62,2020-02-01,,,
63,2020-02-02,,,
64,2020-02-03,,,
65,2020-02-04,,,
66,2020-02-05,,,
67,2020-02-06,,,
68,2020-02-07,,,
69,2020-02-08,,,
70,2020-02-09,,,
71,2020-02-10,,,
72,2020-02-11,,,
73,2020-02-12,,,
74,2020-02-13,3.339191663631403,3.339191663631403,3.339191663631403
75,2020-02-14,-1.2456628530777376,-1.422802867111399,-1.422802867111399
76,2020-02-15,-2.1827332522643816,-2.090317879552759,-2.090317879552759
77,2020-02-16,-2.1234267284069723,-2.053415301769829,-2.073845932509471
78,2020-02-17,-4.416578372613967,-3.102018760325197,-2.63445087928732
79,2020-02-18,-3.966370863783793,-3.855750177223521,-3.096641888892437
80,2020-02-19,-4.321242413902997,-4.097879706507183,-3.3600571525321024
81,2020-02-20,-4.736045095579561,-4.169882015868289,-3.653753791295821
82,2020-02-21,-4.471768190051659,-4.522361639301485,-3.975889650173882
83,2020-02-22,-4.327029231112729,-4.460792222493315,-4.15386657042165
