,time,avg_1,avg_3,avg_7
0,2019-12-01,,,
1,2019-12-02,,,
2,2019-12-03,,,
3,2019-12-04,,,
4,2019-12-05,,,
5,2019-12-06,,,
6,2019-12-07,,,
7,2019-12-08,,,
8,2019-12-09,,,
9,2019-12-10,,,
10,2019-12-11,,,
11,2019-12-12,,,
12,2019-12-13,,,
13,2019-12-14,1.434345799414022,1.434345799414022,1.434345799414022
14,2019-12-15,-4.748605950575261,-1.83228918245139,-1.83228918245139
15,2019-12-16,,-1.83228918245139,-1.83228918245139
16,2019-12-17,,-4.748605950575261,-1.83228918245139
17,2019-12-18,,,-1.83228918245139
18,2019-12-19,,,-1.83228918245139
19,2019-12-20,,,-1.83228918245139
20,2019-12-21,,,-4.748605950575261
21,2019-12-22,,,
22,2019-12-23,,,
23,2019-12-24,,,
24,2019-12-25,,,
25,2019-12-26,,,
26,2019-12-27,,,
27,2019-12-28,,,
28,2019-12-29,,,
29,2019-12-30,,,
30,2019-12-31,,,
31,2020-01-01,-1.7316524775988855,-1.7316524775988855,-1.7316524775988855
32,2020-01-02,-5.991126960875889,-3.177040592788567,-3.177040592788567
33,2020-01-03,,-3.177040592788567,-3.177040592788567
34,2020-01-04,,-5.991126960875889,-3.177040592788567
35,2020-01-05,,,-3.177040592788567
36,2020-01-06,,,-3.177040592788567
37,2020-01-07,,,-3.177040592788567
38,2020-01-08,,,-5.991126960875889
39,2020-01-09,,,
40,2020-01-10,,,
41,2020-01-11,,,
42,2020-01-12,,,
43,2020-01-13,,,
44,2020-01-14,,,
45,2020-01-15,,,
46,2020-01-16,,,
47,2020-01-17,,,
48,2020-01-18,,,
49,2020-01-19,,,
50,2020-01-20,,,
51,2020-01-21,3.06490907943219,3.06490907943219,3.06490907943219
52,2020-01-22,-1.4716033408764693,-7.799316747991725e-15,-7.799316747991725e-15
53,2020-01-23,,-7.799316747991725e-15,-7.799316747991725e-15
54,2020-01-24,,-1.4716033408764693,-7.799316747991725e-15
55,2020-01-25,,,-7.799316747991725e-15
56,2020-01-26,,,-7.799316747991725e-15
57,2020-01-27,,,-7.799316747991725e-15
58,2020-01-28,,,-1.4716033408764693
59,2020-01-29,,,
60,2020-01-30,,,
61,2020-01-31,,,
62,2020-02-01,,,
63,2020-02-02,,,
64,2020-02-03,,,
65,2020-02-04,,,
66,2020-02-05,,,
